Ensembl	Gene	"Gene description"	Uniprot	Evidence
ENSG00000164904	ALDH7A1	"Aldehyde dehydrogenase 7 family member A1"	P49419	"Evidence at protein level"
ENSG00000149925	ALDOA	"Aldolase, fructose-bisphosphate A"	P04075	"Evidence at protein level"
ENSG00000285043	ALDOA	"Aldolase, fructose-bisphosphate A"	P04075	"Evidence at protein level"
ENSG00000136872	ALDOB	"Aldolase, fructose-bisphosphate B"	P05062	"Evidence at protein level"
ENSG00000033011	ALG1	"ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase"	Q9BT22	"Evidence at protein level"
ENSG00000253710	ALG11	"ALG11, alpha-1,2-mannosyltransferase"	Q2TAA5	"Evidence at protein level"
ENSG00000182858	ALG12	"ALG12, alpha-1,6-mannosyltransferase"	Q9BV10	"Evidence at protein level"
ENSG00000101901	ALG13	"ALG13, UDP-N-acetylglucosaminyltransferase subunit"	Q9NP73	"Evidence at protein level"
ENSG00000119523	ALG2	"ALG2, alpha-1,3/1,6-mannosyltransferase"	Q9H553	"Evidence at protein level"
ENSG00000214160	ALG3	"ALG3, alpha-1,3- mannosyltransferase"	Q92685	"Evidence at protein level"
ENSG00000088035	ALG6	"ALG6, alpha-1,3-glucosyltransferase"	Q9Y672	"Evidence at protein level"
ENSG00000159063	ALG8	"ALG8, alpha-1,3-glucosyltransferase"	Q9BVK2	"Evidence at protein level"
ENSG00000086848	ALG9	"ALG9, alpha-1,2-mannosyltransferase"	Q9H6U8	"Evidence at protein level"
ENSG00000108839	ALOX12	"Arachidonate 12-lipoxygenase, 12S type"	P18054	"Evidence at protein level"
ENSG00000161905	ALOX15	"Arachidonate 15-lipoxygenase"	P16050	"Evidence at protein level"
ENSG00000179148	ALOXE3	"Arachidonate lipoxygenase 3"	Q9BYJ1	"Evidence at protein level"
ENSG00000136383	ALPK3	"Alpha kinase 3"	Q96L96	"Evidence at protein level"
ENSG00000162551	ALPL	"Alkaline phosphatase, liver/bone/kidney"	P05186	"Evidence at protein level"
ENSG00000242110	AMACR	"Alpha-methylacyl-CoA racemase"	Q9UHK6	"Evidence at protein level"
ENSG00000135409	AMHR2	"Anti-Mullerian hormone receptor type 2"	Q16671	"Evidence at protein level"
ENSG00000116748	AMPD1	"Adenosine monophosphate deaminase 1"	P23109	"Evidence at protein level"
ENSG00000116337	AMPD2	"Adenosine monophosphate deaminase 2"	Q01433	"Evidence at protein level"
ENSG00000133805	AMPD3	"Adenosine monophosphate deaminase 3"	Q01432	"Evidence at protein level"
ENSG00000145020	AMT	Aminomethyltransferase	P48728	"Evidence at protein level"
ENSG00000029534	ANK1	"Ankyrin 1"	P16157	"Evidence at protein level"
ENSG00000145362	ANK2	"Ankyrin 2"	Q01484	"Evidence at protein level"
ENSG00000154122	ANKH	"ANKH inorganic pyrophosphate transport regulator"	Q9HCJ1	"Evidence at protein level"
ENSG00000160746	ANO10	"Anoctamin 10"	Q9NW15	"Evidence at protein level"
ENSG00000134343	ANO3	"Anoctamin 3"	Q9BYT9	"Evidence at protein level"
ENSG00000171714	ANO5	"Anoctamin 5"	Q75V66	"Evidence at protein level"
ENSG00000177119	ANO6	"Anoctamin 6"	Q4KMQ2	"Evidence at protein level"
ENSG00000164111	ANXA5	"Annexin A5"	P08758	"Evidence at protein level"
ENSG00000106367	AP1S1	"Adaptor related protein complex 1 sigma 1 subunit"	P61966	"Evidence at protein level"
ENSG00000132703	APCS	"Amyloid P component, serum"	P02743	"Evidence at protein level"
ENSG00000198931	APRT	"Adenine phosphoribosyltransferase"	P07741	"Evidence at protein level"
ENSG00000137074	APTX	Aprataxin	Q7Z2E3	"Evidence at protein level"
ENSG00000167580	AQP2	"Aquaporin 2"	P41181	"Evidence at protein level"
ENSG00000161798	AQP5	"Aquaporin 5"	P55064	"Evidence at protein level"
ENSG00000118520	ARG1	"Arginase 1"	P05089	"Evidence at protein level"
ENSG00000100299	ARSA	"Arylsulfatase A"	P15289	"Evidence at protein level"
ENSG00000113273	ARSB	"Arylsulfatase B"	P15848	"Evidence at protein level"
ENSG00000173409	ARV1	"ARV1 homolog, fatty acid homeostasis modulator"	Q9H2C2	"Evidence at protein level"
ENSG00000104763	ASAH1	"N-acylsphingosine amidohydrolase 1"	Q13510	"Evidence at protein level"
ENSG00000126522	ASL	"Argininosuccinate lyase"	P04424	"Evidence at protein level"
ENSG00000070669	ASNS	"Asparagine synthetase (glutamine-hydrolyzing)"	P08243	"Evidence at protein level"
ENSG00000108381	ASPA	Aspartoacylase	P45381	"Evidence at protein level"
ENSG00000198363	ASPH	"Aspartate beta-hydroxylase"	Q12797	"Evidence at protein level"
ENSG00000130707	ASS1	"Argininosuccinate synthase 1"	P00966	"Evidence at protein level"
ENSG00000085978	ATG16L1	"Autophagy related 16 like 1"	Q676U5	"Evidence at protein level"
ENSG00000057663	ATG5	"Autophagy related 5"	Q9H1Y0	"Evidence at protein level"
ENSG00000149311	ATM	"ATM serine/threonine kinase"	Q13315	"Evidence at protein level"
ENSG00000206190	ATP10A	"ATPase phospholipid transporting 10A (putative)"	O60312	"Evidence at protein level"
ENSG00000159363	ATP13A2	"ATPase 13A2"	Q9NQ11	"Evidence at protein level"
ENSG00000127249	ATP13A4	"ATPase 13A4"	Q4VNC1	"Evidence at protein level"
ENSG00000018625	ATP1A2	"ATPase Na+/K+ transporting subunit alpha 2"	P50993	"Evidence at protein level"
ENSG00000105409	ATP1A3	"ATPase Na+/K+ transporting subunit alpha 3"	P13637	"Evidence at protein level"
ENSG00000196296	ATP2A1	"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1"	O14983	"Evidence at protein level"
ENSG00000174437	ATP2A2	"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2"	P16615	"Evidence at protein level"
ENSG00000067842	ATP2B3	"ATPase plasma membrane Ca2+ transporting 3"	Q16720	"Evidence at protein level"
ENSG00000182220	ATP6AP2	"ATPase H+ transporting accessory protein 2"	O75787	"Evidence at protein level"
ENSG00000105929	ATP6V0A4	"ATPase H+ transporting V0 subunit a4"	Q9HBG4	"Evidence at protein level"
ENSG00000131100	ATP6V1E1	"ATPase H+ transporting V1 subunit E1"	P36543	"Evidence at protein level"
ENSG00000165240	ATP7A	"ATPase copper transporting alpha"	Q04656	"Evidence at protein level"
ENSG00000123191	ATP7B	"ATPase copper transporting beta"	P35670	"Evidence at protein level"
ENSG00000132932	ATP8A2	"ATPase phospholipid transporting 8A2"	Q9NTI2	"Evidence at protein level"
ENSG00000081923	ATP8B1	"ATPase phospholipid transporting 8B1"	O43520	"Evidence at protein level"
ENSG00000175054	ATR	"ATR serine/threonine kinase"	Q13535	"Evidence at protein level"
ENSG00000085224	ATRX	"ATRX, chromatin remodeler"	P46100	"Evidence at protein level"
ENSG00000066427	ATXN3	"Ataxin 3"	P54252	"Evidence at protein level"
ENSG00000148090	AUH	"AU RNA binding methylglutaconyl-CoA hydratase"	Q13825	"Evidence at protein level"
ENSG00000178999	AURKB	"Aurora kinase B"	Q96GD4	"Evidence at protein level"
ENSG00000105146	AURKC	"Aurora kinase C"	Q9UQB9	"Evidence at protein level"
ENSG00000167601	AXL	"AXL receptor tyrosine kinase"	P30530	"Evidence at protein level"
ENSG00000162885	B3GALNT2	"Beta-1,3-N-acetylgalactosaminyltransferase 2"	Q8NCR0	"Evidence at protein level"
ENSG00000176022	B3GALT6	"Beta-1,3-galactosyltransferase 6"	Q96L58	"Evidence at protein level"
ENSG00000149541	B3GAT3	"Beta-1,3-glucuronyltransferase 3"	O94766	"Evidence at protein level"
ENSG00000135454	B4GALNT1	"Beta-1,4-N-acetyl-galactosaminyltransferase 1"	Q00973	"Evidence at protein level"
ENSG00000086062	B4GALT1	"Beta-1,4-galactosyltransferase 1"	P15291	"Evidence at protein level"
ENSG00000027847	B4GALT7	"Beta-1,4-galactosyltransferase 7"	Q9UBV7	"Evidence at protein level"
ENSG00000136881	BAAT	"Bile acid-CoA:amino acid N-acyltransferase"	Q14032	"Evidence at protein level"
ENSG00000163930	BAP1	"BRCA1 associated protein 1"	Q92560	"Evidence at protein level"
ENSG00000009954	BAZ1B	"Bromodomain adjacent to zinc finger domain 1B"	Q9UIG0	"Evidence at protein level"
ENSG00000185825	BCAP31	"B cell receptor associated protein 31"	P51572	"Evidence at protein level"
ENSG00000248098	BCKDHA	"Branched chain keto acid dehydrogenase E1, alpha polypeptide"	P12694	"Evidence at protein level"
ENSG00000083123	BCKDHB	"Branched chain keto acid dehydrogenase E1 subunit beta"	P21953	"Evidence at protein level"
ENSG00000103507	BCKDK	"Branched chain ketoacid dehydrogenase kinase"	O14874	"Evidence at protein level"
ENSG00000135697	BCO1	"Beta-carotene oxygenase 1"	Q9HAY6	"Evidence at protein level"
ENSG00000074582	BCS1L	"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone"	Q9Y276	"Evidence at protein level"
ENSG00000167995	BEST1	"Bestrophin 1"	O76090	"Evidence at protein level"
ENSG00000023445	BIRC3	"Baculoviral IAP repeat containing 3"	Q13489	"Evidence at protein level"
ENSG00000136573	BLK	"BLK proto-oncogene, Src family tyrosine kinase"	P51451	"Evidence at protein level"
ENSG00000197299	BLM	"Bloom syndrome RecQ like helicase"	P54132	"Evidence at protein level"
ENSG00000106605	BLVRA	"Biliverdin reductase A"	P53004	"Evidence at protein level"
ENSG00000168487	BMP1	"Bone morphogenetic protein 1"	P13497	"Evidence at protein level"
ENSG00000138696	BMPR1B	"Bone morphogenetic protein receptor type 1B"	O00238	"Evidence at protein level"
ENSG00000172331	BPGM	"Bisphosphoglycerate mutase"	P07738	"Evidence at protein level"
ENSG00000012048	BRCA1	"BRCA1, DNA repair associated"	P38398	"Evidence at protein level"
ENSG00000185515	BRCC3	"BRCA1/BRCA2-containing complex subunit 3"	P46736	"Evidence at protein level"
ENSG00000136492	BRIP1	"BRCA1 interacting protein C-terminal helicase 1"	Q9BX63	"Evidence at protein level"
ENSG00000162399	BSND	"Barttin CLCNK type accessory beta subunit"	Q8WZ55	"Evidence at protein level"
ENSG00000169814	BTD	Biotinidase	P43251	"Evidence at protein level"
ENSG00000156970	BUB1B	"BUB1 mitotic checkpoint serine/threonine kinase B"	O60566	"Evidence at protein level"
ENSG00000108561	C1QBP	"Complement C1q binding protein"	Q07021	"Evidence at protein level"
ENSG00000166278	C2	"Complement C2"	P06681	"Evidence at protein level"
ENSG00000039537	C6	"Complement C6"	P13671	"Evidence at protein level"
ENSG00000157131	C8A	"Complement C8 alpha chain"	P07357	"Evidence at protein level"
ENSG00000174990	CA5A	"Carbonic anhydrase 5A"	P35218	"Evidence at protein level"
ENSG00000166862	CACNG2	"Calcium voltage-gated channel auxiliary subunit gamma 2"	Q9Y698	"Evidence at protein level"
ENSG00000084774	CAD	"Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"	P27708	"Evidence at protein level"
ENSG00000171302	CANT1	"Calcium activated nucleotidase 1"	Q8WVQ1	"Evidence at protein level"
ENSG00000014216	CAPN1	"Calpain 1"	P07384	"Evidence at protein level"
ENSG00000142330	CAPN10	"Calpain 10"	Q9HC96	"Evidence at protein level"
ENSG00000092529	CAPN3	"Calpain 3"	P20807	"Evidence at protein level"
ENSG00000149260	CAPN5	"Calpain 5"	O15484	"Evidence at protein level"
ENSG00000110619	CARS	"Cysteinyl-tRNA synthetase"	P49589	"Evidence at protein level"
ENSG00000134905	CARS2	"Cysteinyl-tRNA synthetase 2, mitochondrial"	Q9HA77	"Evidence at protein level"
ENSG00000147044	CASK	"Calcium/calmodulin dependent serine protein kinase"	O14936	"Evidence at protein level"
ENSG00000003400	CASP10	"Caspase 10"	Q92851	"Evidence at protein level"
ENSG00000105141	CASP14	"Caspase 14"	P31944	"Evidence at protein level"
ENSG00000064012	CASP8	"Caspase 8"	Q14790	"Evidence at protein level"
ENSG00000143318	CASQ1	"Calsequestrin 1"	P31415	"Evidence at protein level"
ENSG00000166762	CATSPER2	"Cation channel sperm associated 2"	Q96P56	"Evidence at protein level"
ENSG00000105974	CAV1	"Caveolin 1"	Q03135	"Evidence at protein level"
ENSG00000182533	CAV3	"Caveolin 3"	P56539	"Evidence at protein level"
ENSG00000110395	CBL	"Cbl proto-oncogene"	P22681	"Evidence at protein level"
ENSG00000160200	CBS	Cystathionine-beta-synthase	P35520	"Evidence at protein level"
ENSG00000177697	CD151	"CD151 molecule (Raph blood group)"	P48509	"Evidence at protein level"
ENSG00000135218	CD36	"CD36 molecule"	P16671	"Evidence at protein level"
ENSG00000110651	CD81	"CD81 molecule"	P60033	"Evidence at protein level"
ENSG00000079335	CDC14A	"Cell division cycle 14A"	Q9UNH5	"Evidence at protein level"
ENSG00000185324	CDK10	"Cyclin dependent kinase 10"	Q15131	"Evidence at protein level"
ENSG00000167258	CDK12	"Cyclin dependent kinase 12"	Q9NYV4	"Evidence at protein level"
ENSG00000065883	CDK13	"Cyclin dependent kinase 13"	Q14004	"Evidence at protein level"
ENSG00000164885	CDK5	"Cyclin dependent kinase 5"	Q00535	"Evidence at protein level"
ENSG00000136807	CDK9	"Cyclin dependent kinase 9"	P50750	"Evidence at protein level"
ENSG00000145996	CDKAL1	"CDK5 regulatory subunit associated protein 1 like 1"	Q5VV42	"Evidence at protein level"
ENSG00000008086	CDKL5	"Cyclin dependent kinase like 5"	O76039	"Evidence at protein level"
ENSG00000100526	CDKN3	"Cyclin dependent kinase inhibitor 3"	Q16667	"Evidence at protein level"
ENSG00000075275	CELSR1	"Cadherin EGF LAG seven-pass G-type receptor 1"	Q9NYQ6	"Evidence at protein level"
ENSG00000154227	CERS3	"Ceramide synthase 3"	Q8IU89	"Evidence at protein level"
ENSG00000087237	CETP	"Cholesteryl ester transfer protein"	P11597	"Evidence at protein level"
ENSG00000243649	CFB	"Complement factor B"	P00751	"Evidence at protein level"
ENSG00000197766	CFD	"Complement factor D"	P00746	"Evidence at protein level"
ENSG00000205403	CFI	"Complement factor I"	P05156	"Evidence at protein level"
ENSG00000070748	CHAT	"Choline O-acetyltransferase"	P28329	"Evidence at protein level"
ENSG00000173575	CHD2	"Chromodomain helicase DNA binding protein 2"	O14647	"Evidence at protein level"
ENSG00000111642	CHD4	"Chromodomain helicase DNA binding protein 4"	Q14839	"Evidence at protein level"
ENSG00000116254	CHD5	"Chromodomain helicase DNA binding protein 5"	Q8TDI0	"Evidence at protein level"
ENSG00000124177	CHD6	"Chromodomain helicase DNA binding protein 6"	Q8TD26	"Evidence at protein level"
ENSG00000171316	CHD7	"Chromodomain helicase DNA binding protein 7"	Q9P2D1	"Evidence at protein level"
ENSG00000100888	CHD8	"Chromodomain helicase DNA binding protein 8"	Q9HCK8	"Evidence at protein level"
ENSG00000183765	CHEK2	"Checkpoint kinase 2"	O96017	"Evidence at protein level"
ENSG00000170175	CHRNB1	"Cholinergic receptor nicotinic beta 1 subunit"	P11230	"Evidence at protein level"
ENSG00000135902	CHRND	"Cholinergic receptor nicotinic delta subunit"	Q07001	"Evidence at protein level"
ENSG00000108556	CHRNE	"Cholinergic receptor nicotinic epsilon subunit"	Q04844	"Evidence at protein level"
ENSG00000196811	CHRNG	"Cholinergic receptor nicotinic gamma subunit"	P07510	"Evidence at protein level"
ENSG00000171310	CHST11	"Carbohydrate sulfotransferase 11"	Q9NPF2	"Evidence at protein level"
ENSG00000169105	CHST14	"Carbohydrate sulfotransferase 14"	Q8NCH0	"Evidence at protein level"
ENSG00000122863	CHST3	"Carbohydrate sulfotransferase 3"	Q7LGC8	"Evidence at protein level"
ENSG00000131873	CHSY1	"Chondroitin sulfate synthase 1"	Q86X52	"Evidence at protein level"
ENSG00000213341	CHUK	"Conserved helix-loop-helix ubiquitous kinase"	O15111	"Evidence at protein level"
ENSG00000179583	CIITA	"Class II major histocompatibility complex transactivator"	P33076	"Evidence at protein level"
ENSG00000122966	CIT	"Citron rho-interacting serine/threonine kinase"	O14578	"Evidence at protein level"
ENSG00000188037	CLCN1	"Chloride voltage-gated channel 1"	P35523	"Evidence at protein level"
ENSG00000073464	CLCN4	"Chloride voltage-gated channel 4"	P51793	"Evidence at protein level"
ENSG00000103249	CLCN7	"Chloride voltage-gated channel 7"	P51798	"Evidence at protein level"
ENSG00000163347	CLDN1	"Claudin 1"	O95832	"Evidence at protein level"
ENSG00000113946	CLDN16	"Claudin 16"	Q9Y5I7	"Evidence at protein level"
ENSG00000164007	CLDN19	"Claudin 19"	Q8N6F1	"Evidence at protein level"
ENSG00000165215	CLDN3	"Claudin 3"	O15551	"Evidence at protein level"
ENSG00000189143	CLDN4	"Claudin 4"	O14493	"Evidence at protein level"
ENSG00000155962	CLIC2	"Chloride intracellular channel 2"	O15247	"Evidence at protein level"
ENSG00000112782	CLIC5	"Chloride intracellular channel 5"	Q9NZA1	"Evidence at protein level"
ENSG00000188603	CLN3	"CLN3, battenin"	Q13286	"Evidence at protein level"
ENSG00000172409	CLP1	"Cleavage and polyadenylation factor I subunit 1"	Q92989	"Evidence at protein level"
ENSG00000162129	CLPB	"ClpB homolog, mitochondrial AAA ATPase chaperonin"	Q9H078	"Evidence at protein level"
ENSG00000125656	CLPP	"Caseinolytic mitochondrial matrix peptidase proteolytic subunit"	Q16740	"Evidence at protein level"
ENSG00000163646	CLRN1	"Clarin 1"	P58418	"Evidence at protein level"
ENSG00000198515	CNGA1	"Cyclic nucleotide gated channel alpha 1"	P29973	"Evidence at protein level"
ENSG00000144191	CNGA3	"Cyclic nucleotide gated channel alpha 3"	Q16281	"Evidence at protein level"
ENSG00000070729	CNGB1	"Cyclic nucleotide gated channel beta 1"	Q14028	"Evidence at protein level"
ENSG00000170289	CNGB3	"Cyclic nucleotide gated channel beta 3"	Q9NQW8	"Evidence at protein level"
ENSG00000158158	CNNM4	"Cyclin and CBS domain divalent metal cation transport mediator 4"	Q6P4Q7	"Evidence at protein level"
ENSG00000184144	CNTN2	"Contactin 2"	Q02246	"Evidence at protein level"
ENSG00000068120	COASY	"Coenzyme A synthase"	Q13057	"Evidence at protein level"
ENSG00000100473	COCH	Cochlin	O43405	"Evidence at protein level"
ENSG00000173085	COQ2	"Coenzyme Q2, polyprenyltransferase"	Q96H96	"Evidence at protein level"
ENSG00000163050	COQ8A	"Coenzyme Q8A"	Q8NI60	"Evidence at protein level"
ENSG00000123815	COQ8B	"Coenzyme Q8B"	Q96D53	"Evidence at protein level"
ENSG00000145244	CORIN	"Corin, serine peptidase"	Q9Y5Q5	"Evidence at protein level"
ENSG00000131055	COX4I2	"Cytochrome c oxidase subunit 4I2"	Q96KJ9	"Evidence at protein level"
ENSG00000178741	COX5A	"Cytochrome c oxidase subunit 5A"	P20674	"Evidence at protein level"
ENSG00000047457	CP	Ceruloplasmin	P00450	"Evidence at protein level"
ENSG00000165078	CPA6	"Carboxypeptidase A6"	Q8N4T0	"Evidence at protein level"
ENSG00000120054	CPN1	"Carboxypeptidase N subunit 1"	P15169	"Evidence at protein level"
ENSG00000080819	CPOX	"Coproporphyrinogen oxidase"	P36551	"Evidence at protein level"
ENSG00000169169	CPT1C	"Carnitine palmitoyltransferase 1C"	Q8TCG5	"Evidence at protein level"
ENSG00000005339	CREBBP	"CREB binding protein"	Q92793	"Evidence at protein level"
ENSG00000103316	CRYM	"Crystallin mu"	Q14894	"Evidence at protein level"
ENSG00000141551	CSNK1D	"Casein kinase 1 delta"	P48730	"Evidence at protein level"
ENSG00000101266	CSNK2A1	"Casein kinase 2 alpha 1"	P68400	"Evidence at protein level"
